pathway	pval	padj	ES	NES	nMoreExtreme	size
BIOCARTA_P53_PATHWAY	0.549270072992701	0.836513383665065	0.199883031608049	0.917492092698869	300	15
BIOCARTA_PDGF_PATHWAY	0.586206896551724	0.836513383665065	-0.136587514625921	-0.867858353354784	271	29
BIOCARTA_CCR5_PATHWAY	0.67037037037037	0.867538126361656	0.189143312827523	0.834265996010931	361	14
BIOCARTA_PTDINS_PATHWAY	0.935114503816794	0.998493737117489	0.142952653757215	0.609616404986885	489	13
BIOCARTA_PLCE_PATHWAY	0.643510054844607	0.845388788426763	0.217570153061224	0.830979878724285	351	10
BIOCARTA_EDG1_PATHWAY	0.818691588785047	0.952974336151906	0.13631306027334	0.7074116118544	437	19
BIOCARTA_CDK5_PATHWAY	0.175502742230347	0.68922305764411	0.350239158163265	1.33769126454173	95	10
BIOCARTA_PLATELETAPP_PATHWAY	0.104562737642586	0.587359943977591	0.467325470194453	1.40751571145242	54	6
BIOCARTA_PS1_PATHWAY	0.1	0.587359943977591	-0.343392866634774	-1.46966726647	47	12
BIOCARTA_AKAPCENTROSOME_PATHWAY	0.649425287356322	0.845405699517105	0.207143996172859	0.849184640966922	338	12
BIOCARTA_PTEN_PATHWAY	0.481561822125813	0.814950775905223	-0.206292869676184	-0.978936500134782	221	16
BIOCARTA_RAB_PATHWAY	0.118681318681319	0.587359943977591	-0.348692602040816	-1.35350319339608	53	10
BIOCARTA_RAC1_PATHWAY	0.234135667396061	0.739880952380952	-0.236509962419343	-1.19640285782074	106	18
BIOCARTA_RAS_PATHWAY	0.55531914893617	0.836513383665065	-0.16515636814049	-0.918494273425983	260	21
BIOCARTA_NKCELLS_PATHWAY	0.427083333333333	0.814950775905223	-0.233681496837293	-1.00011992108955	204	12
BIOCARTA_RB_PATHWAY	0.0488721804511278	0.551378446115288	0.4198720039428	1.65650019396781	25	11
BIOCARTA_BAD_PATHWAY	0.208510638297872	0.71323312702623	-0.226962723172729	-1.26222175906647	97	21
BIOCARTA_CK1_PATHWAY	0.58936170212766	0.836513383665065	-0.215411710986932	-0.87741472160147	276	11
BIOCARTA_EIF2_PATHWAY	0.152866242038217	0.659423004870738	-0.359346353128737	-1.31597375318049	71	9
BIOCARTA_EIF4_PATHWAY	0.986842105263158	1	0.0959068060320754	0.519927916476707	524	21
BIOCARTA_P27_PATHWAY	0.783834586466165	0.927116177540626	0.189022489907446	0.745741055025468	416	11
BIOCARTA_PGC1A_PATHWAY	0.420382165605096	0.814950775905223	-0.280448164385988	-1.02703817708536	197	9
BIOCARTA_PML_PATHWAY	0.466377440347072	0.814950775905223	-0.209233928856277	-0.992892921338134	214	16
BIOCARTA_DREAM_PATHWAY	0.406015037593985	0.814950775905223	0.257340204242859	1.01527154523521	215	11
BIOCARTA_RHO_PATHWAY	0.097196261682243	0.587359943977591	0.274838872210442	1.42630654172658	51	19
BIOCARTA_AKAP13_PATHWAY	0.296577946768061	0.778485491861288	0.373791308043779	1.12580454614865	155	6
BIOCARTA_ATRBRCA_PATHWAY	0.0878504672897196	0.587359943977591	0.279323158314614	1.44957823744383	46	19
BIOCARTA_CARDIACEGF_PATHWAY	0.0813308687615527	0.587359943977591	0.307884032541075	1.46359534462326	43	16
BIOCARTA_HER2_PATHWAY	0.89799635701275	0.993726992712794	0.123360459550024	0.658553305102582	492	20
BIOCARTA_ERK5_PATHWAY	0.389121338912134	0.814950775905223	-0.233517140701576	-1.02588224966101	185	13
BIOCARTA_MAL_PATHWAY	0.391866913123845	0.814950775905223	0.224178497368001	1.06568243375425	211	16
BIOCARTA_MEF2D_PATHWAY	0.977777777777778	1	0.119902027796765	0.528859218696323	527	14
BIOCARTA_MITOCHONDRIA_PATHWAY	0.15203426124197	0.659423004870738	-0.254953498624903	-1.34357778664443	70	19
BIOCARTA_ACH_PATHWAY	0.645338208409506	0.845388788426763	0.216964285714286	0.828665850042509	352	10
BIOCARTA_PARKIN_PATHWAY	0.998098859315589	1	0.143980448411433	0.43364797385585	524	6
BIOCARTA_CDC42RAC_PATHWAY	0.997894736842105	1	-0.139361714240171	-0.457189976203389	473	7
BIOCARTA_RANMS_PATHWAY	0.00188323917137476	0.154385964912281	0.605021921084097	2.19772835297396	0	9
BIOCARTA_BARR_MAPK_PATHWAY	0.329566854990584	0.814659641549758	0.304034365174262	1.10439790912805	174	9
BIOCARTA_TOB1_PATHWAY	0.025531914893617	0.432078559738134	-0.420270632660013	-1.71184583448682	11	11
BIOCARTA_BARRESTIN_SRC_PATHWAY	0.253759398496241	0.775692911454501	0.303704347952136	1.19818970202194	134	11
BIOCARTA_NKT_PATHWAY	0.48125	0.814950775905223	-0.273752590467081	-0.957827789005763	230	8
BIOCARTA_IL1R_PATHWAY	0.0717299578059072	0.584466322862947	-0.249416691227036	-1.51409087839374	33	26
BIOCARTA_MET_PATHWAY	0.572340425531915	0.836513383665065	-0.135075332356207	-0.892007243730404	268	31
BIOCARTA_GPCR_PATHWAY	0.957805907172996	0.998493737117489	-0.0966818940956872	-0.586910095053983	453	26
BIOCARTA_IGF1MTOR_PATHWAY	0.615711252653928	0.838230545689377	-0.176484664217446	-0.872156672837869	289	17
BIOCARTA_SODD_PATHWAY	0.720879120879121	0.897230971745569	-0.20422512755102	-0.792730791230471	327	10
BIOCARTA_SHH_PATHWAY	0.210727969348659	0.71323312702623	0.299420613405624	1.22747166604226	109	12
BIOCARTA_PTC1_PATHWAY	0.895795246800731	0.993726992712794	0.163823341836735	0.625701176454055	489	10
BIOCARTA_SPRY_PATHWAY	0.123844731977819	0.587359943977591	0.283567953421598	1.34800344495562	66	16
BIOCARTA_BARRESTIN_PATHWAY	0.25891181988743	0.776773013615119	0.415092836082556	1.14832435165099	137	5
BIOCARTA_STATHMIN_PATHWAY	0.573221757322176	0.836513383665065	-0.202756497150884	-0.890745282361753	273	13
BIOCARTA_HSP27_PATHWAY	0.461702127659574	0.814950775905223	-0.2393294340197	-0.974836362235528	216	11
BIOCARTA_TCR_PATHWAY	0.0965092402464066	0.587359943977591	-0.207277767336967	-1.44011833750396	46	34
BIOCARTA_TALL1_PATHWAY	0.609341825902335	0.838230545689377	-0.239316239316239	-0.876407641007022	286	9
BIOCARTA_TEL_PATHWAY	0.610169491525424	0.838230545689377	0.178886965171328	0.876795656440585	323	17
BIOCARTA_TGFB_PATHWAY	0.233545647558386	0.739880952380952	-0.249116732119984	-1.23109178464545	109	17
BIOCARTA_TH1TH2_PATHWAY	0.28781512605042	0.778485491861288	-0.364281160344278	-1.11784519354068	136	6
BIOCARTA_41BB_PATHWAY	0.0238095238095238	0.432078559738134	-0.376429710640237	-1.70566114088591	10	14
